country_code,Gold Medal,Silver Medal,Bronze Medal,Total
JPN,4.0,2.0,1.0,7.0
AUS,4.0,2.0,,6.0
USA,3.0,6.0,3.0,12.0
FRA,3.0,3.0,2.0,8.0
KOR,3.0,2.0,1.0,6.0
CHN,3.0,1.0,2.0,6.0
ITA,1.0,2.0,3.0,6.0
KAZ,1.0,,2.0,3.0
BEL,1.0,,1.0,2.0
GER,1.0,,,1.0
HKG,1.0,,,1.0
UZB,1.0,,,1.0
GBR,,2.0,2.0,4.0
BRA,,1.0,2.0,3.0
CAN,,1.0,1.0,2.0
FIJ,,1.0,,1.0
KOS,,1.0,,1.0
MGL,,1.0,,1.0
POL,,1.0,,1.0
TUN,,1.0,,1.0
SWE,,,2.0,2.0
EGY,,,1.0,1.0
ESP,,,1.0,1.0
HUN,,,1.0,1.0
IND,,,1.0,1.0
MDA,,,1.0,1.0
MEX,,,1.0,1.0
RSA,,,1.0,1.0
